
ha	expressing surprise [interj]
haaf	a deep sea fishing region [n -s]
haafs	"haaf, a deep sea fishing region [n]"
haanepoot	"(afrikaans) a kind of grape, also hanepoot, honeypot [n -s]"
haanepoots	"haanepoot, (afrikaans) a kind of grape, also hanepoot, honeypot [n]"
haar	a cold sea-mist [n -s]
haars	"haar, a cold sea-mist [n]"
habanera	a slow and seductive cuban dance [n -s]
habaneras	"habanera, a slow and seductive cuban dance [n]"
habanero	a hot chili pepper [n -s]
habaneros	"habanero, a hot chili pepper [n]"
habdabs	"a state of extreme nervousness, also abdabs [n]"
habdalah	"a jewish ceremony, also havdalah, havdoloh [n -s]"
habdalahs	"habdalah, a jewish ceremony, also havdalah, havdoloh [n]"
habendum	the part of a deed that limits the extent of ownership [n -s]
habendums	"habendum, the part of a deed that limits the extent of ownership [n]"
haberdasher	a dealer in men's clothing; a dealer in small sewing articles [n -s]
haberdasheries	"haberdashery, a shop selling small sewing articles [n]"
haberdashers	"haberdasher, a dealer in men's clothing; a dealer in small sewing articles [n]"
haberdashery	a shop selling small sewing articles [n haberdasheries]
haberdine	a cod salted and dried [n -s]
haberdines	"haberdine, a cod salted and dried [n]"
habergeon	"(historical) a sleeveless mail coat, shorter than a hauberk, also haubergeon [n -s]"
habergeons	"habergeon, (historical) a sleeveless mail coat, shorter than a hauberk, also haubergeon [n]"
habilable	(carlyle) capable of being clothed [adj]
habilatory	of or relating to clothes or dressing [adj]
habile	(french) dexterous; adroit [adj]
habiliment	"clothing, esp. for a particular purpose [n -s]"
habiliments	"habiliment, clothing, esp. for a particular purpose [n]"
habilitate	"to endow with ability or capacity [v habilitated, habilitating, habilitates]"
habilitated	"habilitate, to endow with ability or capacity [v]"
habilitates	"habilitate, to endow with ability or capacity [v]"
habilitating	"habilitate, to endow with ability or capacity [v]"
habilitation	the act of habilitating [n -s]
habilitations	"habilitation, the act of habilitating [n]"
habilitator	one who habilitates [n -s]
habilitators	"habilitator, one who habilitates [n]"
habit	"to clothe [v -ed, -ing, -s]"
habitabilities	"habitability, the state of being habitable [n]"
habitability	the state of being habitable [n habitabilities]
habitable	that can be inhabited [adj habitably]
habitableness	"habitable, that can be inhabited [n]"
habitablenesses	"habitableness, habitable, that can be inhabited [n]"
habitably	"habitable, that can be inhabited [adv]"
habitan	"(french) a french native of louisiana or carolina, also habitant [n -s]"
habitans	"habitan, (french) a french native of louisiana or carolina, also habitant [n]"
habitant	"(french) a french native of louisiana or carolina, also habitan [n -s]"
habitants	"habitant, (french) a french native of louisiana or carolina, also habitan [n]"
habitat	the natural environment of a plant or animal [n -s]
habitation	the act of inhabiting [n -s]
habitational	relating to habitation [adj]
habitations	"habitation, the act of inhabiting [n]"
habitats	"habitat, the natural environment of a plant or animal [n]"
habitaunce	(spenser) dwelling-place [n -s]
habitaunces	"habitaunce, (spenser) dwelling-place [n]"
habited	"habit, to clothe [v]"
habiting	"habit, to clothe [v]"
habits	"habit, to clothe [v]"
habitual	"according to habit [adj habitually] / someone who has a habit e.g. a drunkard, a drug-taker [n -s]"
habitually	"habitual, according to habit [adv]"
habitualness	the state of being habitual [n -es]
habitualnesses	"habitualness, the state of being habitual [n]"
habituals	"habitual, someone who has a habit e.g. a drunkard, a drug-taker [n]"
habituate	"to accustom to [v habituated, habituating, habituates]"
habituated	"habituate, to accustom to [v]"
habituates	"habituate, to accustom to [v]"
habituating	"habituate, to accustom to [v]"
habituation	the process of habituating [n -s]
habituations	"habituation, the process of habituating [n]"
habitude	a usual course of action [n -s]
habitudes	"habitude, a usual course of action [n]"
habitudinal	(obsolete) related to habitude [adj]
habitue	(french) one who habitually frequents a place [n -s]
habitues	"habitue, (french) one who habitually frequents a place [n]"
habitus	"(latin) the characteristic appearance, manner of growth, etc. of a plant or animal [n -es]"
habituses	"habitus, (latin) the characteristic appearance, manner of growth, etc. of a plant or animal [n]"
hable	(spenser) able [adj]
haboob	"a violent dust storm or sandstorm, esp. in sudan along the southern edges of the sahara [n -s]"
haboobs	"haboob, a violent dust storm or sandstorm, esp. in sudan along the southern edges of the sahara [n]"
habu	a venomous snake found in japan [n -s]
habus	"habu, a venomous snake found in japan [n]"
hacek	"in slavonic languages, a diacritic [n -s]"
haceks	"hacek, in slavonic languages, a diacritic [n]"
hacendado	"(spanish) the owner or proprietor of a hacienda, also haciendado [n -s]"
hacendados	"hacendado, (spanish) the owner or proprietor of a hacienda, also haciendado [n]"
hachis	"(french) a hash, a mess [n hachis]"
hachure	"to make a hatching on a map [v hachured, hachuring, hachures]"
hachured	"hachure, to make a hatching on a map [v]"
hachures	"hachure, to make a hatching on a map [v]"
hachuring	"hachure, to make a hatching on a map [v]"
hacienda	"(spanish) a landed estate, a ranch [n -s]"
haciendado	"the owner of a hacienda, also hacendado [n -s]"
haciendados	"haciendado, the owner of a hacienda, also hacendado [n]"
haciendas	"hacienda, (spanish) a landed estate, a ranch [n]"
hack	"to cut or chop roughly [v -ed, -ing, -s]"
hackable	that can be hacked e.g. of a computer system [adj]
hackamore	"(spanish) a halter consisting of a long leather or rope strap and headstall, used for leading a pack animal [n -s]"
hackamores	"hackamore, (spanish) a halter consisting of a long leather or rope strap and headstall, used for leading a pack animal [n]"
hackberries	"hackberry, a genus of trees related to the elm, but bearing drupes with scanty, but often edible, pulp, also hagberry [n]"
hackberry	"a genus of trees related to the elm, but bearing drupes with scanty, but often edible, pulp, also hagberry [n hackberries]"
hackbolt	"a sea bird, the greater shearwater, also hagbolt, hagden, hagdon, hagdown [n -s]"
hackbolts	"hackbolt, a sea bird, the greater shearwater, also hagbolt, hagden, hagdon, hagdown [n]"
hackbut	"(historical) a harquebus; a matchlock gun invented in the 15th century, also hagbut [n -s]"
hackbuteer	"one who uses a hackbut, an arquebus, also hackbutter, hagbuteer, hagbutter [n -s]"
hackbuteers	"hackbuteer, one who uses a hackbut, an arquebus, also hackbutter, hagbuteer, hagbutter [n]"
hackbuts	"hackbut, (historical) a harquebus; a matchlock gun invented in the 15th century, also hagbut [n]"
hackbutter	"one who uses a hackbut, also hackbuteer, hagbuteer, hagbutter [n -s]"
hackbutters	"hackbutter, one who uses a hackbut, also hackbuteer, hagbuteer, hagbutter [n]"
hacked	"hack, to cut or chop roughly [v]"
hackee	the chipmunk [n -s]
hackees	"hackee, the chipmunk [n]"
hacker	one that hacks [n -s]
hackerazzi	a person who hacks into the personal computer of a celebrity in order to gain information about them [n -s]
hackerazzis	"hackerazzi, a person who hacks into the personal computer of a celebrity in order to gain information about them [n]"
hackeries	"hackery, an ox-drawn cart for moving goods [n]"
hackers	"hacker, one that hacks [n]"
hackery	an ox-drawn cart for moving goods [n hackeries]
hackette	a woman journalist [n -s]
hackettes	"hackette, a woman journalist [n]"
hackie	a taxicab driver [n -s]
hackies	"hackie, a taxicab driver [n]"
hacking	horseback riding [n -s]
hackings	"hacking, horseback riding [n]"
hackle	"a comb for flax or hemp, also hatchel, heckle [n -s] / to comb with a hackle [v hackled, hackling, hackles]"
hackled	"hackle, to comb with a hackle [v]"
hackler	"a device for hackling, combing flax [n -s]"
hacklers	"hackler, a device for hackling, combing flax [n]"
hackles	"hackle, to comb with a hackle [v]"
hacklet	"the kittiwake or shearwater, also haglet [n -s]"
hacklets	"hacklet, the kittiwake or shearwater, also haglet [n]"
hacklier	"hackly, rough or broken, as if hacked, esp. of the surface of a mineral [adj]"
hackliest	"hackly, rough or broken, as if hacked, esp. of the surface of a mineral [adj]"
hackling	"hackle, to comb with a hackle [v]"
hackly	"rough or broken, as if hacked, esp. of the surface of a mineral [adj hacklier, hackliest]"
hackman	the driver of a hack or carriage for public hire [n hackmen]
hackmatack	"(native american) the american larch, a coniferous tree with slender deciduous leaves [n -s]"
hackmatacks	"hackmatack, (native american) the american larch, a coniferous tree with slender deciduous leaves [n]"
hackmen	"hackman, the driver of a hack or carriage for public hire [n]"
hackney	"a four-wheeled two-horse carriage [n -s] / to make trite [v -ed, -ing, -s]"
hackneyed	"hackney, to make trite [v]"
hackneying	"hackney, to make trite [v]"
hackneyism	the quality of being hackneyed [n -s]
hackneyisms	"hackneyism, the quality of being hackneyed [n]"
hackneyman	a man who lets horses and carriages for hire [n hackneymen]
hackneymen	"hackneyman, a man who lets horses and carriages for hire [n]"
