
ja	yes (from german) [interj]
jaap	(south african) an ignorant fool [n -s]
jaaps	"jaap, (south african) an ignorant fool [n]"
jab	"to poke sharply [v jabbed, jabbing, jabs]"
jabbed	"jab, to poke sharply [v]"
jabber	"to talk rapidly [v -ed, -ing, -s]"
jabbered	"jabber, to talk rapidly [v]"
jabberer	one who jabbers [n -s]
jabberers	"jabberer, one who jabbers [n]"
jabbering	talking rapidly [adj jabberingly] / the act of jabbering [n -s]
jabberingly	"jabbering, talking rapidly [adv]"
jabberings	"jabbering, the act of jabbering [n]"
jabbers	"jabber, to talk rapidly [v]"
jabberwock	"nonsense, gibberish, also jabberwocky [n -s]"
jabberwockies	"jabberwocky, nonsense, gibberish, also jabberwock [n]"
jabberwocks	"jabberwock, nonsense, gibberish, also jabberwocky [n]"
jabberwocky	"nonsense, gibberish, also jabberwock [n jabberwockies]"
jabbing	"jab, to poke sharply [v]"
jabbingly	jabbing [adv]
jabble	"(scots) to splash, ripple [v jabbled, jabbling, jabbles]"
jabbled	"jabble, (scots) to splash, ripple [v]"
jabbles	"jabble, (scots) to splash, ripple [v]"
jabbling	"jabble, (scots) to splash, ripple [v]"
jabers	"as in the irish oath be jabers, by jesus [n]"
jabiru	one of several large wading birds allied to the storks [n -s]
jabirus	"jabiru, one of several large wading birds allied to the storks [n]"
jaborandi	"(tupi) the native name of a south american rutaceous shrub, whose leaves are used in medicine as a diaphoretic and sialogogue [n -s]"
jaborandis	"jaborandi, (tupi) the native name of a south american rutaceous shrub, whose leaves are used in medicine as a diaphoretic and sialogogue [n]"
jabot	(french) a lace frill worn on shirt or dress front [n -s]
jaboticaba	a brazilian tree of the myrtle family [n -s]
jaboticabas	"jaboticaba, a brazilian tree of the myrtle family [n]"
jabots	"jabot, (french) a lace frill worn on shirt or dress front [n]"
jabs	"jab, to poke sharply [v]"
jacal	"a hut built of erect stakes filled in with wattle and mud, common in mexico and the southwestern us [n jacals or jacales]"
jacales	"jacal, a hut built of erect stakes filled in with wattle and mud, common in mexico and the southwestern us [n]"
jacals	"jacal, a hut built of erect stakes filled in with wattle and mud, common in mexico and the southwestern us [n]"
jacamar	"any of various small insectivorous birds of tropical south america, with partly iridescent plumage [n -s]"
jacamars	"jacamar, any of various small insectivorous birds of tropical south america, with partly iridescent plumage [n]"
jacana	"any of various small tropical wading birds of the family jacanidae, which have greatly elongated toes and claws, enabling them to walk on floating vegetation [n -s]"
jacanas	"jacana, any of various small tropical wading birds of the family jacanidae, which have greatly elongated toes and claws, enabling them to walk on floating vegetation [n]"
jacaranda	(tupi) a tropical american tree of the bignoniaceae [n -s]
jacarandas	"jacaranda, (tupi) a tropical american tree of the bignoniaceae [n]"
jacare	the caiman [n -s]
jacares	"jacare, the caiman [n]"
jacchus	a south american marmoset [n -es]
jacchuses	"jacchus, a south american marmoset [n]"
jacent	(obsolete) lying flat; sluggish [adj]
jacinth	a variety of zircon [n -s]
jacinthe	an orange colour [n -s]
jacinthes	"jacinthe, an orange colour [n]"
jacinths	"jacinth, a variety of zircon [n]"
jack	"a device for raising e.g. a car [n -s] / to raise with jack [v -ed, -ing, -s]"
jackal	"an african carnivorous mammal related to the dog [n -s] / to play the jackal, do someone else's dirty work [v jackalled, jackalling, jackals]"
jackalled	"jackal, to play the jackal, do someone else's dirty work [v]"
jackalling	"jackal, to play the jackal, do someone else's dirty work [v]"
jackals	"jackal, to play the jackal, do someone else's dirty work [v]"
jackanapes	an impudent child; a conceited fellow [n -es]
jackanapeses	"jackanapes, an impudent child; a conceited fellow [n]"
jackaroo	"a newcomer gaining experience at a sheep-station [n -s] / to work as a newcomer at a sheep farm, also jackeroo [v -ed, -ing, -s]"
jackarooed	"jackaroo, to work as a newcomer at a sheep farm, also jackeroo [v]"
jackarooing	"jackaroo, to work as a newcomer at a sheep farm, also jackeroo [v]"
jackaroos	"jackaroo, a newcomer gaining experience at a sheep-station [n]"
jackass	a male ass or donkey [n -es]
jackasseries	"jackassery, being a jackass [n]"
jackassery	being a jackass [n jackasseries]
jackasses	"jackass, a male ass or donkey [n]"
jackboot	"a kind of high boot [n -s] / to behave in a brutally authoritarian way [v -ed, -ing, -s]"
jackbooted	"jackboot, to behave in a brutally authoritarian way [v]"
jackbooting	"jackboot, to behave in a brutally authoritarian way [v]"
jackboots	"jackboot, a kind of high boot [n]"
jackdaw	a bird resembling a crow [n -s]
jackdaws	"jackdaw, a bird resembling a crow [n]"
jacked	"jack, to raise with jack [v]"
jackeen	"(irish) a person from dublin, esp. one with a parochial attitude [n -s]"
jackeens	"jackeen, (irish) a person from dublin, esp. one with a parochial attitude [n]"
jacker	one who jacks [n -s]
jackeroo	"a newcomer gaining experience at a sheep-station [n -s] / to work as a newcomer at a sheep farm, also jackaroo [v -ed, -ing, -s]"
jackerooed	"jackeroo, to work as a newcomer at a sheep farm, also jackaroo [v]"
jackerooing	"jackeroo, to work as a newcomer at a sheep farm, also jackaroo [v]"
jackeroos	"jackeroo, a newcomer gaining experience at a sheep-station [n]"
jackers	"jacker, one who jacks [n]"
jacket	"to provide with a short coat [v -ed, -ing, -s]"
jacketed	"jacket, to provide with a short coat [v]"
jacketing	"jacket, to provide with a short coat [v]"
jacketless	without a jacket [adj]
jackets	"jacket, to provide with a short coat [v]"
jackfish	a food fish [n -es]
jackfishes	"jackfish, a food fish [n]"
jackfruit	"an east indian tree of the breadfruit family, also jak, jakfruit [n -s]"
jackfruits	"jackfruit, an east indian tree of the breadfruit family, also jak, jakfruit [n]"
jackhammer	"a handheld compressed air rock-drill [n -s] / to hammer with a jackhammer [v -ed, -ing, -s]"
jackhammered	"jackhammer, to hammer with a jackhammer [v]"
jackhammering	"jackhammer, to hammer with a jackhammer [v]"
jackhammers	"jackhammer, a handheld compressed air rock-drill [n]"
jackies	"jacky, a sailor [n]"
jacking	"in house dancing, moving the torso forward and backward in a rippling motion [n -s]"
jackings	"jacking, in house dancing, moving the torso forward and backward in a rippling motion [n]"
jackknife	"a large clasp knife [n jackknives] / to fold up like a jackknife [v jackknifed, jackknifing, jackknifes]"
jackknifed	"jackknife, to fold up like a jackknife [v]"
jackknifes	"jackknife, to fold up like a jackknife [v]"
jackknifing	"jackknife, to fold up like a jackknife [v]"
jackknives	"jackknife, a large clasp knife [n]"
jackleg	"an amateur; one characterized by unscrupulousness, dishonesty or lack or standards [n -s]"
jacklegs	"jackleg, an amateur; one characterized by unscrupulousness, dishonesty or lack or standards [n]"
jacklight	"a kind of fishing lure [n -s] / to fish with a jacklight [v -ed, -ing, -s]]"
jacklighted	"jacklight, to fish with a jacklight [v]"
jacklighting	"jacklight, to fish with a jacklight [v]"
jacklights	"jacklight, a kind of fishing lure [n]"
jackling	"the winning of the ball, by the defender's team, after a tackle and before a ruck has formed [n -s]"
jacklings	"jackling, the winning of the ball, by the defender's team, after a tackle and before a ruck has formed [n]"
jackman	a soldier wearing leather armour [n jackmen]
jackmen	"jackman, a soldier wearing leather armour [n]"
jackplane	a large woodworking plane [n -s]
jackplanes	"jackplane, a large woodworking plane [n]"
jackpot	"a top prize or reward [n -s] / to win a top prize or reward [v jackpotted, jackpotting, jackpots]"
jackpots	"jackpot, a top prize or reward [n]"
jackpotted	"jackpot, to win a top prize or reward [v]"
jackpotting	"jackpot, to win a top prize or reward [v]"
jackrabbit	a long-eared american hare [n -s]
jackrabbits	"jackrabbit, a long-eared american hare [n]"
jackroll	"to roll a drunken or sleeping person [v -ed, -ing, -s]"
jackrolled	"jackroll, to roll a drunken or sleeping person [v]"
jackrolling	"jackroll, to roll a drunken or sleeping person [v]"
jackrolls	"jackroll, to roll a drunken or sleeping person [v]"
jacks	"jack, to raise with jack [v]"
jackscrew	"a jack in which a screw is used for lifting, or exerting pressure [n -s]"
jackscrews	"jackscrew, a jack in which a screw is used for lifting, or exerting pressure [n]"
jackshaft	an intermediate shaft e.g. between a motor and the wheels it drives [n -s]
jackshafts	"jackshaft, an intermediate shaft e.g. between a motor and the wheels it drives [n]"
jacksie	"the posterior, also jaxy, jaxie, jacksy [n -s]"
jacksies	"jacksie, the posterior, also jaxy, jaxie, jacksy [n]"
jacksmelt	a large fish of the pacific coast of north america [n -s]
jacksmelts	"jacksmelt, a large fish of the pacific coast of north america [n]"
jacksmith	a smith who makes jacks [n -s]
jacksmiths	"jacksmith, a smith who makes jacks [n]"
jacksnipe	a kind of snipe [n -s]
jacksnipes	"jacksnipe, a kind of snipe [n]"
jackstay	an iron or wooden bar running along the yard of a ship to which sails are fastened [n -s]
jackstays	"jackstay, an iron or wooden bar running along the yard of a ship to which sails are fastened [n]"
jackstone	a piece used in the game of jacks [n -s]
jackstones	"jackstone, a piece used in the game of jacks [n]"
jackstraw	"an effigy stuffed with straw; a scarecrow; hence, a man without property or influence [n -s]"
jackstraws	"jackstraw, an effigy stuffed with straw; a scarecrow; hence, a man without property or influence [n]"
jacksy	"the posterior, also jaxy, jaxie, jacksie [n jacksies]"
jacky	a sailor [n jackies]
jacobin	a variety of fancy pigeon with a hood of feathers [n -s]
jacobins	"jacobin, a variety of fancy pigeon with a hood of feathers [n]"
jacobus	"(historical) an english gold coin, struck in the reign of james i [n -es]"
jacobuses	"jacobus, (historical) an english gold coin, struck in the reign of james i [n]"
jaconet	"a kind of thin cotton fabric, esp. with one side glazed [n -s]"
jaconets	"jaconet, a kind of thin cotton fabric, esp. with one side glazed [n]"
jacquard	an apparatus with perforated cards for controlling the movement of the warp threads in weaving intricate designs; a fabric woven by this method [n -s]
jacquards	"jacquard, an apparatus with perforated cards for controlling the movement of the warp threads in weaving intricate designs; a fabric woven by this method [n]"
