
ma	(colloquial) mother [n -s]
maa	"to bleat like a goat [v -ed, -ing, -s]"
maaed	"maa, to bleat like a goat [v]"
maaing	"maa, to bleat like a goat [v]"
maar	"(german) a volcanic crater without a cone, usually filled by a lake [n maars or maare]"
maare	"maar, (german) a volcanic crater without a cone, usually filled by a lake [n]"
maars	"maar, (german) a volcanic crater without a cone, usually filled by a lake [n]"
maas	(south africa) thick soured milk [n -es]
maases	"maas, (south africa) thick soured milk [n]"
maatjes	"a young herring, treated, and served as an hors d'oeuvre, also matjes [n maatjes]"
mabe	a cultured pearl [n -s]
mabela	ground kaffir corn used for making porridge [n -s]
mabelas	"mabela, ground kaffir corn used for making porridge [n]"
mabes	"mabe, a cultured pearl [n]"
mac	"(short for) mackintosh, also mack [n -s]"
macaber	"gruesome, also macabre [adj]"
macaberesque	somewhat macaber [adj]
macabre	"gruesome, also macaber [adj macabrely]"
macabrely	"macabre, gruesome, also macaber [adv]"
macaco	(french) any one of several species of lemurs [n -s]
macacos	"macaco, (french) any one of several species of lemurs [n]"
macadam	"pavement made of layers of compacted broken stone, now usually bound with tar or asphalt [n -s]"
macadamed	paved with macadam [adj]
macadamia	a kind of nut grown in australia [n -s]
macadamias	"macadamia, a kind of nut grown in australia [n]"
macadamisation	"the process of macadamising, also macadamization [n -s]"
macadamisations	"macadamisation, the process of macadamising, also macadamization [n]"
macadamise	"to cover a road with small broken stones, also macadamize [v macadamised, macadamising, macadamises]"
macadamised	"macadamise, to cover a road with small broken stones, also macadamize [v]"
macadamiser	"one who macadamises, also macadamizer [n -s]"
macadamisers	"macadamiser, one who macadamises, also macadamizer [n]"
macadamises	"macadamise, to cover a road with small broken stones, also macadamize [v]"
macadamising	"macadamise, to cover a road with small broken stones, also macadamize [v]"
macadamization	"the process of macadamizing, also macadamisation [n -s]"
macadamizations	"macadamization, the process of macadamizing, also macadamisation [n]"
macadamize	"to cover a road with small broken stones, also macadamise [v macadamized, macadamizing, macadamizes]"
macadamized	"macadamize, to cover a road with small broken stones, also macadamise [v]"
macadamizer	"one who macadamises, also macadamiser [n -s]"
macadamizers	"macadamizer, one who macadamises, also macadamiser [n]"
macadamizes	"macadamize, to cover a road with small broken stones, also macadamise [v]"
macadamizing	"macadamize, to cover a road with small broken stones, also macadamise [v]"
macadams	"macadam, pavement made of layers of compacted broken stone, now usually bound with tar or asphalt [n]"
macahuba	"an american palm, whose nuts yield a violet-scented oil, also macoya [n -s]"
macahubas	"macahuba, an american palm, whose nuts yield a violet-scented oil, also macoya [n]"
macallum	(scots) a dish of vanilla icecream topped with raspberry sauce [n -s]
macallums	"macallum, (scots) a dish of vanilla icecream topped with raspberry sauce [n]"
macaque	a kind of short-tailed monkey [n -s]
macaques	"macaque, a kind of short-tailed monkey [n]"
macarise	"to declare to be blessed, also macarize [v macarised, macarising, macarises]"
macarised	"macarise, to declare to be blessed, also macarize [v]"
macarises	"macarise, to declare to be blessed, also macarize [v]"
macarising	"macarise, to declare to be blessed, also macarize [v]"
macarism	a beatitude [n -s]
macarisms	"macarism, a beatitude [n]"
macarize	"to declare to be blessed, also macarise [v macarized, macarizing, macarizes]"
macarized	"macarize, to declare to be blessed, also macarise [v]"
macarizes	"macarize, to declare to be blessed, also macarise [v]"
macarizing	"macarize, to declare to be blessed, also macarise [v]"
macaroni	"a tubular pasta, also maccaroni [n macaronis or macaronies]"
macaronic	"mixing words from different languages, esp. latin with vernacular or latinized vernacular words [adj macaronically] / a verse of this type [n -s]"
macaronically	"macaronic, mixing words from different languages, esp. latin with vernacular or latinized vernacular words [adv]"
macaronics	"macaronic, a verse of this type [n]"
macaronies	"macaroni, a tubular pasta, also maccaroni [n]"
macaronis	"macaroni, a tubular pasta, also maccaroni [n]"
macaroon	a sweet biscuit made with egg white and ground almonds or coconut [n -s]
macaroons	"macaroon, a sweet biscuit made with egg white and ground almonds or coconut [n]"
macassar	a kind of hair-oil [n -s]
macassars	"macassar, a kind of hair-oil [n]"
macaw	"a large tropical american parrot, having a long tail and brilliant plumage [n -s]"
macaws	"macaw, a large tropical american parrot, having a long tail and brilliant plumage [n]"
maccabaw	"a type of snuff, also maccaboy, maccoboy [n -s]"
maccabaws	"maccabaw, a type of snuff, also maccaboy, maccoboy [n]"
maccaboy	"a type of snuff, also maccabaw, maccoboy [n -s]"
maccaboys	"maccaboy, a type of snuff, also maccabaw, maccoboy [n]"
maccaroni	"(italian) a form of pasta, also macaroni [n maccaronis or maccaronies]"
maccaronies	"maccaroni, (italian) a form of pasta, also macaroni [n]"
maccaronis	"maccaroni, (italian) a form of pasta, also macaroni [n]"
maccheroncini	a type of macaroni [n -s]
maccheroncinis	"maccheroncini, a type of macaroni [n]"
macchia	a dense growth of small trees and shrubs [n macchie]
macchiato	(italian) espresso coffee served with a dash of hot or cold milk [n -s]
macchiatos	"macchiato, (italian) espresso coffee served with a dash of hot or cold milk [n]"
macchie	"macchia, a dense growth of small trees and shrubs [n]"
maccoboy	"a type of snuff, also maccaboy, maccabaw [n -s]"
maccoboys	"maccoboy, a type of snuff, also maccaboy, maccabaw [n]"
mace	"to attack with a clublike weapon [v maced, macing, maces]"
macebearer	one who carries a mace [n -s]
macebearers	"macebearer, one who carries a mace [n]"
maced	"mace, to attack with a clublike weapon [v]"
macedoine	(french) mixed diced vegetables; mixed fruit in syrup of jelly [n -s]
macedoines	"macedoine, (french) mixed diced vegetables; mixed fruit in syrup of jelly [n]"
macer	an official who carries a ceremonial staff [n -s]
maceral	any of the organic elements that constitute coal [n -s]
macerals	"maceral, any of the organic elements that constitute coal [n]"
maceranduba	"(tupi) the brazilian milk-tree, also massaranduba, masseranduba [n -s]"
macerandubas	"maceranduba, (tupi) the brazilian milk-tree, also massaranduba, masseranduba [n]"
macerate	"to soften by soaking [v macerated, macerating, macerates]"
macerated	"macerate, to soften by soaking [v]"
macerater	one who macerates [n -s]
maceraters	"macerater, one who macerates [n]"
macerates	"macerate, to soften by soaking [v]"
macerating	"macerate, to soften by soaking [v]"
maceration	the act of macerating [n -s]
macerations	"maceration, the act of macerating [n]"
macerative	tending to macerate [adj]
macerator	a person who fasts and becomes emaciated [n -s]
macerators	"macerator, a person who fasts and becomes emaciated [n]"
macers	"macer, an official who carries a ceremonial staff [n]"
maces	"mace, to attack with a clublike weapon [v]"
mach	a number relating the speed of a body to the speed of sound [n -s]
machaca	(spanish) a mexican dish of shredded meat fried with vegetables [n -s]
machacas	"machaca, (spanish) a mexican dish of shredded meat fried with vegetables [n]"
machair	"(gaelic) a low-lying sandy beach, esp. in the hebrides [n -s]"
machairodont	a sabre-toothed animal [n -s]
machairodonts	"machairodont, a sabre-toothed animal [n]"
machairs	"machair, (gaelic) a low-lying sandy beach, esp. in the hebrides [n]"
machan	"(hindi) a raised platform, esp. in a tree, to watch for game [n -s]"
machans	"machan, (hindi) a raised platform, esp. in a tree, to watch for game [n]"
mache	"a herb, lamb's lettuce, corn-salad [n -s]"
macher	(yiddish) an important person [n -s]
machers	"macher, (yiddish) an important person [n]"
maches	"mache, a herb, lamb's lettuce, corn-salad [n]"
machete	"a large heavy knife, also matchet [n -s]"
machetes	"machete, a large heavy knife, also matchet [n]"
machi	"(hinglish) as in machi chips, fish and chips [adj]"
machiavelian	"characterised by ruthless political cunning [adj] / a politically cunning person, also machiavellian [n -s]"
machiavelians	"machiavelian, a politically cunning person, also machiavellian [n]"
machiavellian	"characterised by ruthless political cunning [adj] / a politically cunning person, also machiavelian [n -s]"
machiavellians	"machiavellian, a politically cunning person, also machiavelian [n]"
machicolate	"to furnish with machicolations [v machicolated, machicolating, machicolates]"
machicolated	"machicolate, to furnish with machicolations [v]"
machicolates	"machicolate, to furnish with machicolations [v]"
machicolating	"machicolate, to furnish with machicolations [v]"
machicolation	"an opening between the corbels which support a projecting parapet, or in the floor of a gallery or the roof of a portal for shooting or dropping missiles upon assailants attacking the base of the walls [n -s]"
machicolations	"machicolation, an opening between the corbels which support a projecting parapet, or in the floor of a gallery or the roof of a portal for shooting or dropping missiles upon assailants attacking the base of the walls [n]"
machinabilities	"machinability, the state of being machinable, also machineability [n]"
machinability	"the state of being machinable, also machineability [n machinabilities]"
machinable	"that can be machined, also machineable [adj]"
machinate	"to plan; to contrive; esp. to form a scheme with the purpose of doing harm [v machinated, machinating, machinates]"
machinated	"machinate, to plan; to contrive; esp. to form a scheme with the purpose of doing harm [v]"
machinates	"machinate, to plan; to contrive; esp. to form a scheme with the purpose of doing harm [v]"
machinating	"machinate, to plan; to contrive; esp. to form a scheme with the purpose of doing harm [v]"
machination	an act of machinating [n -s]
machinations	"machination, an act of machinating [n]"
machinator	one who machinates; a plotter [n -s]
machinators	"machinator, one who machinates; a plotter [n]"
machine	"to process by a mechanical device [v machined, machining, machines]"
machineability	"the state of being machineable, also machinability [n]"
machineable	"that can be machined, also machinable [adj]"
machined	"machine, to process by a mechanical device [v]"
machinegun	"an automatic rapid-firing gun on a stable but portable mounting [n -s] / to shoot with a machinegun [v machinegunned, machinegunning, machineguns]"
machinegunned	"machinegun, to shoot with a machinegun [v]"
machinegunning	"machinegun, to shoot with a machinegun [v]"
machineguns	"machinegun, to shoot with a machinegun [v]"
machineless	without a machine [adj]
machinelike	resembling or suggesting a machine esp. in regularity of action or stereotyped uniformity of product [adj]
machineman	a person who oversees the working of a machine [n machinemen]
machinemen	"machineman, a person who oversees the working of a machine [n]"
machineries	"machinery, machines in general [n]"
machinery	machines in general [n machineries]
machines	"machine, to process by a mechanical device [v]"
machinima	the use of real-time three-dimensional graphics rendering engines to generate computer animation [n -s]
machinimas	"machinima, the use of real-time three-dimensional graphics rendering engines to generate computer animation [n]"
machining	"machine, to process by a mechanical device [v]"
machinings	machining [n]
machinist	a person who operates machines to cut or process materials [n -s]
machinists	"machinist, a person who operates machines to cut or process materials [n]"
machismo	"the quality of being macho, also machoism [n -s]"
machismos	"machismo, the quality of being macho, also machoism [n]"
machmeter	an instrument for measuring mach number [n -s]
machmeters	"machmeter, an instrument for measuring mach number [n]"
macho	"an aggressively virile man, one who exhibits machismo [n -s]"
machoism	"the quality of being macho, also machismo [n -s]"
machoisms	"machoism, the quality of being macho, also machismo [n]"
machos	"macho, an aggressively virile man, one who exhibits machismo [n]"
machree	"(anglo-irish) an affectionate form of address, my dear [n -s]"
machrees	"machree, (anglo-irish) an affectionate form of address, my dear [n]"
machs	"mach, a number relating the speed of a body to the speed of sound [n]"
machtpolitik	(german) power politics [n -s]
machtpolitiks	"machtpolitik, (german) power politics [n]"
machzor	"a jewish prayer book, also mahzor [n machzors or machzorim]"
machzorim	"machzor, a jewish prayer book, also mahzor [n]"
machzors	"machzor, a jewish prayer book, also mahzor [n]"
macing	"mace, to attack with a clublike weapon [v]"
macintosh	"a waterproof raincoat made of rubberized cloth, also mackintosh [n -es]"
macintoshes	"macintosh, a waterproof raincoat made of rubberized cloth, also mackintosh [n]"
mack	"a raincoat, also mac [n -s]"
mackerel	a marine food fish [n -s]
mackerels	"mackerel, a marine food fish [n]"
mackinaw	(native american) a heavy napped and felted wool cloth [n -s]
mackinaws	"mackinaw, (native american) a heavy napped and felted wool cloth [n]"
mackintosh	"a waterproof raincoat made of rubberized cloth, also macintosh [n -es]"
mackintoshes	"mackintosh, a waterproof raincoat made of rubberized cloth, also macintosh [n]"
mackle	"to blur in printing, also macule [v mackled, mackling, mackles]"
mackled	"mackle, to blur in printing, also macule [v]"
mackles	"mackle, to blur in printing, also macule [v]"
mackling	"mackle, to blur in printing, also macule [v]"
macks	"mack, a raincoat, also mac [n]"
macle	"a mineral, aka chiastolite or andalusite, so called from the tessellated appearance of a cross section [n -s]"
macled	having a dark spot [adj]
macles	"macle, a mineral, aka chiastolite or andalusite, so called from the tessellated appearance of a cross section [n]"
macon	(french) smoked salted mutton [n -s]
maconochie	army tinned stew [n -s]
maconochies	"maconochie, army tinned stew [n]"
macons	"macon, (french) smoked salted mutton [n]"
macoya	"an american palm, whose nuts yield a violet-scented oil, also macahuba [n -s]"
macoyas	"macoya, an american palm, whose nuts yield a violet-scented oil, also macahuba [n]"
macrame	"ornamental knotted threadwork, also macrami [n -s]"
macrames	"macrame, ornamental knotted threadwork, also macrami [n]"
macrami	"ornamental knotted threadwork, also macrame [n -s]"
macramis	"macrami, ornamental knotted threadwork, also macrame [n]"
macrencephalia	"the condition of having an abnormally large brain, also macrencephaly, macrocephalia [n -s]"
macrencephalias	"macrencephalia, the condition of having an abnormally large brain, also macrencephaly, macrocephalia [n]"
macrencephalies	"macrencephaly, the condition of having an abnormally large brain, also macrencephalia, macrocephalia [n]"
macrencephaly	"the condition of having an abnormally large brain, also macrencephalia, macrocephalia [n macrencephalias]"
macro	"in computing, a single instruction that brings a set of instructions into operation [n -s]"
macroaggregate	a relatively large particle (as of soil) [n -s]
macroaggregated	in the form of a macroaggregate [adj]
