
za	(slang) pizza [n -s]
zabaglione	"(italian) a rich italian custard, also zabaione, zabajone [n -s]"
zabagliones	"zabaglione, (italian) a rich italian custard, also zabaione, zabajone [n]"
zabaione	"(italian) a rich italian custard, also zabaglione, zabajone [n -s]"
zabaiones	"zabaione, (italian) a rich italian custard, also zabaglione, zabajone [n]"
zabajone	"(italian) a rich italian custard, also zabaglione, zabaione [n -s]"
zabajones	"zabajone, (italian) a rich italian custard, also zabaglione, zabaione [n]"
zabeta	(arabic) a stated tariff [n -s]
zabetas	"zabeta, (arabic) a stated tariff [n]"
zabra	(spanish) a small vessel used off the spanish coast [n -s]
zabras	"zabra, (spanish) a small vessel used off the spanish coast [n]"
zabtieh	"(turkish) a turkish policeman, also zaptiah, zaptieh [n -s]"
zabtiehs	"zabtieh, (turkish) a turkish policeman, also zaptiah, zaptieh [n]"
zacaton	"(spanish) a type of coarse perennial grass growing in alkaline regions of the southern us, also sacaton [n -s]"
zacatons	"zacaton, (spanish) a type of coarse perennial grass growing in alkaline regions of the southern us, also sacaton [n]"
zack	"(australian slang) sixpence, now a five-cent piece [n -s]"
zacks	"zack, (australian slang) sixpence, now a five-cent piece [n]"
zaddick	"(hebrew) in judaism, a hasidic leader, or person of extraordinary piety, also tsaddik, tsaddiq, tsadik, tzaddik, tzaddiq, tzadik, zaddik [n zaddikim or zaddicks]"
zaddicks	"zaddick, (hebrew) in judaism, a hasidic leader, or person of extraordinary piety, also tsaddik, tsaddiq, tsadik, tzaddik, tzaddiq, tzadik, zaddik [n]"
zaddik	"(hebrew) in judaism, a hasidic leader, or person of extraordinary piety, also tsaddik, tsaddiq, tsadik, tzaddik, tzaddiq, tzadik, zaddick [n zaddiks or zaddikim]"
zaddikim	"zaddick, (hebrew) in judaism, a hasidic leader, or person of extraordinary piety, also tsaddik, tsaddiq, tsadik, tzaddik, tzaddiq, tzadik, zaddik [n]"
zaddiks	"zaddik, (hebrew) in judaism, a hasidic leader, or person of extraordinary piety, also tsaddik, tsaddiq, tsadik, tzaddik, tzaddiq, tzadik, zaddick [n]"
zaffar	"(italian) an impure oxide of cobalt, also zaffer, zaffir, zaffre [n -s]"
zaffars	"zaffar, (italian) an impure oxide of cobalt, also zaffer, zaffir, zaffre [n]"
zaffer	"(italian) an impure oxide of cobalt, also zaffar, zaffir, zaffre [n -s]"
zaffers	"zaffer, (italian) an impure oxide of cobalt, also zaffar, zaffir, zaffre [n]"
zaffir	"(italian) an impure oxide of cobalt, also zaffar, zaffer, zaffre [n -s]"
zaffirs	"zaffir, (italian) an impure oxide of cobalt, also zaffar, zaffer, zaffre [n]"
zaffre	"(italian) an impure oxide of cobalt, also zaffar, zaffer, zaffir [n -s]"
zaffres	"zaffre, (italian) an impure oxide of cobalt, also zaffar, zaffer, zaffir [n]"
zaftig	"(yiddish) having a full rounded figure, pleasingly plump, also zoftig [adj]"
zag	"to change course sharply [v zagged, zagging, zags]"
zagged	"zag, to change course sharply [v]"
zagging	"zag, to change course sharply [v]"
zags	"zag, to change course sharply [v]"
zaibatsu	"(japanese) a powerful, family-controlled japanese combine [n zaibatsu]"
zaida	"(yiddish) a grandfather, also zaideh, zaidy, zeda [n -s]"
zaidas	"zaida, (yiddish) a grandfather, also zaideh, zaidy, zeda [n]"
zaideh	"(yiddish) a grandfather, also zaida, zaidy, zeda [n -s]"
zaidehs	"zaideh, (yiddish) a grandfather, also zaida, zaidy, zeda [n]"
zaidies	"zaidy, (yiddish) a grandfather, also zaida, zaideh, zeda [n]"
zaidy	"(yiddish) a grandfather, also zaida, zaideh, zeda [n zaidies]"
zaikai	(japanese) the business community of japan [n -s]
zaikais	"zaikai, (japanese) the business community of japan [n]"
zaire	a monetary unit of central africa [n -s]
zaires	"zaire, a monetary unit of central africa [n]"
zaitech	(japanese) the commercial practice of investing in financial markets to augment a company's normal earnings [n -s]
zaitechs	"zaitech, (japanese) the commercial practice of investing in financial markets to augment a company's normal earnings [n]"
zakat	"(persian) in islam, a tax payable on certain types of property [n -s]"
zakats	"zakat, (persian) in islam, a tax payable on certain types of property [n]"
zakouska	"(russian) a hors d'oeuvre; a snack, also zakuska [n zakouski]"
zakouski	"zakouska, (russian) a hors d'oeuvre; a snack, also zakuska [n]"
zakuska	"(russian) a hors d'oeuvre; a snack, also zakouska [n zakuski]"
zakuski	"zakuska, (russian) a hors d'oeuvre; a snack, also zakouska [n]"
zalambdodont	"having molar teeth with v-shaped ridges, as some insectivora do [adj] / an animal having such teeth [n -s]"
zalambdodonts	"zalambdodont, an animal having such teeth [n]"
zaman	"(carib) the rain-tree, a member of the mimosa family, also samaan, saman, zamang [n -s]"
zamang	"(carib) the rain-tree, a member of the mimosa family, also samaan, saman, zaman [n -s]"
zamangs	"zamang, (carib) the rain-tree, a member of the mimosa family, also samaan, saman, zaman [n]"
zamans	"zaman, (carib) the rain-tree, a member of the mimosa family, also samaan, saman, zamang [n]"
zamarra	"(spanish) a shepherd's sheepskin coat, also zamarro [n -s]"
zamarras	"zamarra, (spanish) a shepherd's sheepskin coat, also zamarro [n]"
zamarro	"(spanish) a shepherd's sheepskin coat, also zamarra [n -s]"
zamarros	"zamarro, (spanish) a shepherd's sheepskin coat, also zamarra [n]"
zambo	the offspring of a negro man and an american indian woman [n -s]
zambomba	(spanish) a spanish musical instrument consisting of parchment over a jar [n -s]
zambombas	"zambomba, (spanish) a spanish musical instrument consisting of parchment over a jar [n]"
zamboorak	"(urdu) a small swivel-gun, esp. one mounted on the back of a camel, also zomboruk, zumbooruk [n -s]"
zambooraks	"zamboorak, (urdu) a small swivel-gun, esp. one mounted on the back of a camel, also zomboruk, zumbooruk [n]"
zambos	"zambo, the offspring of a negro man and an american indian woman [n]"
zambuck	"(new zealand slang) a member of the st john's ambulance brigade, esp. one on duty at a sporting event, also zambuk [n -s]"
zambucks	"zambuck, (new zealand slang) a member of the st john's ambulance brigade, esp. one on duty at a sporting event, also zambuk [n]"
zambuk	"(new zealand slang) a member of the st john's ambulance brigade, esp. one on duty at a sporting event, also zambuck [n -s]"
zambuks	"zambuk, (new zealand slang) a member of the st john's ambulance brigade, esp. one on duty at a sporting event, also zambuck [n]"
zamia	a genus of cycads [n -s]
zamias	"zamia, a genus of cycads [n]"
zamindar	"(hindi) in india, a type of landowner, also zemindar [n -s]"
zamindari	"(hindi) the jurisdiction of a zamindar, also zamindary, zemindari, zemindary [n -s]"
zamindaries	"zamindary, (hindi) the jurisdiction of a zamindar, also zamindari, zemindari, zemindary [n]"
zamindaris	"zamindari, (hindi) the jurisdiction of a zamindar, also zamindary, zemindari, zemindary [n]"
zamindars	"zamindar, (hindi) in india, a type of landowner, also zemindar [n]"
zamindary	"(hindi) the jurisdiction of a zamindar, also zamindari, zemindari, zemindary [n zamindaries]"
zamouse	(arabic) a short-horned buffalo [n -s]
zamouses	"zamouse, (arabic) a short-horned buffalo [n]"
zampogna	"(italian) an italian bagpipe with two drones and two conical chanters, all in one stock [n -s]"
zampognas	"zampogna, (italian) an italian bagpipe with two drones and two conical chanters, all in one stock [n]"
zampone	(italian) a stuffed pigs' trotter sausage [n zamponi]
zamponi	"zampone, (italian) a stuffed pigs' trotter sausage [n]"
zamzawed	"(dialect) of tea, stewed in the pot [adj]"
zanamivir	a drug used in the treatment of influenza [n -s]
zanamivirs	"zanamivir, a drug used in the treatment of influenza [n]"
zanana	"(urdu) in the indian subcontinent, the part of a house in which high-caste women are or were secluded, also zenana [n -s]"
